Robot,right_bump_sensor,left_bump_sensor,Force
2,688,796,2204.44
2,708,820,3442.16
2,700,808,9366.80
2,708,816,8118.32
2,708,816,4676.89
2,700,816,7269.00
2,696,812,3176.54
2,700,816,2707.91
2,684,792,5877.50
2,704,812,6296.20
2,696,804,7751.29
2,704,812,9255.12
2,704,848,7293.28
2,684,792,7636.17
2,684,792,6179.35
2,684,796,4022.98
2,684,824,8866.82
2,692,800,7023.42
2,688,796,7257.11
2,688,800,6704.35
2,700,812,7641.74
2,696,808,13281.40
2,688,800,11018.22
2,688,800,6260.63
2,684,824,8177.21
2,692,800,10162.45
2,692,800,3422.54
2,688,796,8295.83
2,684,824,3784.64
2,692,800,2650.19
2,688,796,4314.10
2,688,800,9968.15
2,684,792,5994.10
2,692,808,6264.87
2,684,796,5445.10
2,700,816,2064.75
2,680,824,5157.52
2,688,796,6918.48
2,684,792,5797.58
2,700,812,5088.24
2,692,804,17558.86
2,684,792,5137.63
2,692,800,3656.01
2,704,816,4445.91
2,704,812,6175.12
2,708,816,14963.68
2,688,796,2645.67
2,692,800,3118.97
2,704,812,7341.54
2,688,800,7057.65
2,708,816,5906.68
2,704,816,6328.97
2,700,808,10052.95
2,692,800,2399.79
2,688,796,5834.22
2,664,808,4887.03
2,700,812,7033.32
2,704,816,8629.28
2,704,816,6380.29
2,708,816,8102.37
2,696,812,3350.98
2,684,800,4331.63
2,688,800,9302.63
